,Date,Part,Process,SubProcess,Resource,Event,Process Type,Load,Unit,From,To,Distance,Memo,Simulation time
0,2018-07-17,A0029_A830A,,,,part_created,,,,,,,,6.0
1,2018-07-17,A0029_A830A,외부,,,Process_entered,Factory,320.82766626360336,m2,,,,,6.0
2,2018-07-17,A0029_A830A,외부,,,routing_ended,,,,,,,,6.0
3,2018-07-17,A0029_A830A,외부,외부_0,,work_start,,,,,,,,6.0
4,2018-09-05,A0029_A610A,,,,part_created,,,,,,,,56.0
5,2018-09-05,A0030_A830A,,,,part_created,,,,,,,,56.0
6,2018-09-05,A0029_A610A,외부,,,Process_entered,Factory,641.6553325272067,m2,,,,,56.0
7,2018-09-05,A0029_A610A,외부,,,routing_ended,,,,,,,,56.0
8,2018-09-05,A0030_A830A,외부,,,Process_entered,Factory,962.4829987908101,m2,,,,,56.0
9,2018-09-05,A0030_A830A,외부,,,routing_ended,,,,,,,,56.0
10,2018-09-05,A0029_A610A,외부,외부_1,,work_start,,,,,,,,56.0
11,2018-09-05,A0030_A830A,외부,외부_2,,work_start,,,,,,,,56.0
12,2018-09-12,A0034_A830A,,,,part_created,,,,,,,,63.0
13,2018-09-12,A0034_A830A,외부,,,Process_entered,Factory,1283.3106650544134,m2,,,,,63.0
14,2018-09-12,A0034_A830A,외부,,,routing_ended,,,,,,,,63.0
15,2018-09-12,A0034_A830A,외부,외부_3,,work_start,,,,,,,,63.0
16,2018-09-13,A0004_A830A,,,,part_created,,,,,,,,64.0
17,2018-09-13,A0004_A830A,외부,,,Process_entered,Factory,1611.0516974673787,m2,,,,,64.0
18,2018-09-13,A0004_A830A,외부,,,routing_ended,,,,,,,,64.0
19,2018-09-13,A0004_A830A,외부,외부_4,,work_start,,,,,,,,64.0
20,2018-10-10,A0030_A610A,,,,part_created,,,,,,,,91.0
21,2018-10-10,A0030_A610A,외부,,,Process_entered,Factory,1931.879363730982,m2,,,,,91.0
22,2018-10-10,A0030_A610A,외부,,,routing_ended,,,,,,,,91.0
23,2018-10-10,A0030_A610A,외부,외부_5,,work_start,,,,,,,,91.0
24,2018-10-11,A0004_A610A,,,,part_created,,,,,,,,92.0
25,2018-10-11,A0004_A610A,외부,,,Process_entered,Factory,2259.6203961439473,m2,,,,,92.0
26,2018-10-11,A0004_A610A,외부,,,routing_ended,,,,,,,,92.0
27,2018-10-11,A0004_A610A,외부,외부_6,,work_start,,,,,,,,92.0
28,2018-10-15,A0035_A830A,,,,part_created,,,,,,,,96.0
29,2018-10-15,A0035_A830A,외부,,,Process_entered,Factory,2580.448062407551,m2,,,,,96.0
30,2018-10-15,A0035_A830A,외부,,,routing_ended,,,,,,,,96.0
31,2018-10-15,A0035_A830A,외부,외부_7,,work_start,,,,,,,,96.0
32,2018-10-22,A0016_A610P,,,,part_created,,,,,,,,103.0
33,2018-10-22,A0016_A610S,,,,part_created,,,,,,,,103.0
34,2018-10-22,A0016_A610P,외부,,,Process_entered,Factory,2854.197205264694,m2,,,,,103.0
35,2018-10-22,A0016_A610P,외부,,,routing_ended,,,,,,,,103.0
36,2018-10-22,A0016_A610S,외부,,,Process_entered,Factory,3127.9463481218368,m2,,,,,103.0
37,2018-10-22,A0016_A610S,외부,,,routing_ended,,,,,,,,103.0
38,2018-10-22,A0016_A610P,외부,외부_8,,work_start,,,,,,,,103.0
39,2018-10-22,A0016_A610S,외부,외부_9,,work_start,,,,,,,,103.0
40,2018-10-24,A0032_V910A,,,,part_created,,,,,,,,105.0
41,2018-10-24,A0032_V950A,,,,part_created,,,,,,,,105.0
42,2018-10-24,A0034_A610A,,,,part_created,,,,,,,,105.0
43,2018-10-24,A0032_V910A,외부,,,Process_entered,Factory,3424.473207625969,m2,,,,,105.0
44,2018-10-24,A0032_V910A,외부,,,routing_ended,,,,,,,,105.0
45,2018-10-24,A0032_V950A,외부,,,Process_entered,Factory,3721.000067130101,m2,,,,,105.0
46,2018-10-24,A0032_V950A,외부,,,routing_ended,,,,,,,,105.0
47,2018-10-24,A0032_V910A,외부,외부_10,,work_start,,,,,,,,105.0
48,2018-10-24,A0034_A610A,외부,,,Process_entered,Factory,4041.8277333937044,m2,,,,,105.0
49,2018-10-24,A0034_A610A,외부,,,routing_ended,,,,,,,,105.0
50,2018-10-24,A0032_V950A,외부,외부_11,,work_start,,,,,,,,105.0
51,2018-10-24,A0034_A610A,외부,외부_12,,work_start,,,,,,,,105.0
52,2018-10-25,A0005_A610A,,,,part_created,,,,,,,,106.0
53,2018-10-25,A0032_V920A,,,,part_created,,,,,,,,106.0
54,2018-10-25,A0032_V960A,,,,part_created,,,,,,,,106.0
55,2018-10-25,A0005_A610A,외부,,,Process_entered,Factory,4340.536307574822,m2,,,,,106.0
56,2018-10-25,A0005_A610A,외부,,,routing_ended,,,,,,,,106.0
57,2018-10-25,A0032_V920A,외부,,,Process_entered,Factory,4637.063167078954,m2,,,,,106.0
58,2018-10-25,A0032_V920A,외부,,,routing_ended,,,,,,,,106.0
59,2018-10-25,A0005_A610A,외부,외부_13,,work_start,,,,,,,,106.0
60,2018-10-25,A0032_V960A,외부,,,Process_entered,Factory,4933.590026583087,m2,,,,,106.0
61,2018-10-25,A0032_V960A,외부,,,routing_ended,,,,,,,,106.0
62,2018-10-25,A0032_V920A,외부,외부_14,,work_start,,,,,,,,106.0
63,2018-10-25,A0032_V960A,외부,외부_15,,work_start,,,,,,,,106.0
64,2018-10-29,A0029_A830A,외부,외부_0,,work_finish,,,,,,,,110.0
65,2018-10-29,A0029_A830A,외부,외부_0,,part_transferred_to_out_buffer,Factory,4612.762360319483,m2,,,,,110.0
66,2018-10-29,A0029_E170A,,,,part_created,,,,,,,,110.0
67,2018-10-29,A0029_E180A,,,,part_created,,,,,,,,110.0
68,2018-10-29,A0029_A830A,Sink,,,go to parent block,,,,,,,,110.0
69,2018-10-29,A0029_A830A,Sink,,,completed,,,,,,,,110.0
70,2018-10-29,A0029_E170A,외부,,,Process_entered,Factory,4696.762360319483,m2,,,,,110.0
71,2018-10-29,A0029_E170A,외부,,,routing_ended,,,,,,,,110.0
72,2018-10-29,A0029_E180A,외부,,,Process_entered,Factory,4742.262360319483,m2,,,,,110.0
73,2018-10-29,A0029_E180A,외부,,,routing_ended,,,,,,,,110.0
74,2018-10-29,A0029_E170A,외부,외부_16,,work_start,,,,,,,,110.0
75,2018-10-29,A0029_E180A,외부,외부_17,,work_start,,,,,,,,110.0
76,2018-10-31,A0008_A830A,,,,part_created,,,,,,,,112.0
77,2018-10-31,A0029_E810P,,,,part_created,,,,,,,,112.0
